u_id,email,first_name,last_name,password,shop_name,shop_rating,shop_address,shop_open,insurance_company,insurance_phone,insurance_num,insurance_email
1,test@gmail.com,testf,tesl,0416a26ba554334286b1954918ecad7ba6c33575b49df915ff3367b5cef7ecd93b1f0b436636667b27b363011543971f1c81c3151d5ef72733501c1ff33c34af,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3,rbtest@gmail.com,Riley,Bates,b109f3bbbc244eb82441917ed06d618b9008dd09b3befd1b5e07394c706a8bb980b1d7785e5976ec049b46df5f1326af5a2ea6d103fd07c95385ffab0cacbc86,NULL,NULL,NULL,NULL,"Blue Cross Blue Shield","1 (800) 877 2276",89865688,NULL
4,testj@gmail.com,Julie,Tapia,b109f3bbbc244eb82441917ed06d618b9008dd09b3befd1b5e07394c706a8bb980b1d7785e5976ec049b46df5f1326af5a2ea6d103fd07c95385ffab0cacbc86,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5,ruichenn@smu.edu,Ruichen,Ni,ba3253876aed6bc22d4a6ff53d8406c6ad864195ed144ab5c87621b6c233b548baeae6956df346ec8c17f5ea10f35ee3cbc514797ed7ddd3145464e2a0bab413,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6,usertest@test.com,testf,testl,ee26b0dd4af7e749aa1a8ee3c10ae9923f618980772e473f8819a5d4940e0db27ac185f8a0e1d5f84f88bc887fd67b143732c304cc5fa9ad8e6f57f50028a8ff,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
8,test,test,test,ee26b0dd4af7e749aa1a8ee3c10ae9923f618980772e473f8819a5d4940e0db27ac185f8a0e1d5f84f88bc887fd67b143732c304cc5fa9ad8e6f57f50028a8ff,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
9,test1@test.com,test1,test2,ee26b0dd4af7e749aa1a8ee3c10ae9923f618980772e473f8819a5d4940e0db27ac185f8a0e1d5f84f88bc887fd67b143732c304cc5fa9ad8e6f57f50028a8ff,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10,test@test.com,test1,test2,ee26b0dd4af7e749aa1a8ee3c10ae9923f618980772e473f8819a5d4940e0db27ac185f8a0e1d5f84f88bc887fd67b143732c304cc5fa9ad8e6f57f50028a8ff,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
11,ruichen@gmail.com,Goku,Sun,e13efc991a9bf44bbb4da87cdbb725240184585ccaf270523170e008cf2a3b85f45f86c3da647f69780fb9e971caf5437b3d06d418355a68c9760c70a31d05c7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
12,bakerkr@smu.edu,Kyle,Baker,b109f3bbbc244eb82441917ed06d618b9008dd09b3befd1b5e07394c706a8bb980b1d7785e5976ec049b46df5f1326af5a2ea6d103fd07c95385ffab0cacbc86,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
15,test1,test,test,ee26b0dd4af7e749aa1a8ee3c10ae9923f618980772e473f8819a5d4940e0db27ac185f8a0e1d5f84f88bc887fd67b143732c304cc5fa9ad8e6f57f50028a8ff,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
